row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
1,38,B,6761,30433,1089,21107,1652,20,6
2,41,E,7776,63653,2057,17614,1740,22,7
3,47,A,4209,24310,965,19128,2030,18,3
4,41,B,8142,29707,1224,26651,1993,16,7
5,34,A,3845,25929,903,16984,1073,17,3
6,25,A,4759,31671,1128,31242,2272,17,3
7,,D,2635,5849,553,37990,1595,13,2
8,31,A,5659,28853,1106,16514,1710,19,4
9,39,B,9138,33782,1352,34675,1569,17,8
10,40,A,4070,15272,1013,31931,1971,17,3
11,41,C,2789,8997,641,22776,1327,12,2
12,31,D,1934,4913,494,37380,1681,12,1
13,61,E,7601,51725,1410,37806,2552,18,6
14,27,E,8963,44904,1602,34444,1681,16,8
15,36,A,4578,16391,888,19491,1592,15,3
16,36,B,6355,27791,1130,29627,2461,18,4
17,49,B,7940,15210,1198,18138,1723,15,7
18,38,A,4586,28820,932,25154,1212,15,4
19,35,A,4663,20282,1073,41587,1440,17,4
20,47,E,7189,32546,1749,25451,2277,18,5
21,51,E,8581,52042,1616,23910,1994,18,7
22,62,A,5346,26391,1280,16147,2236,18,4
23,30,B,7860,23243,1201,28015,1170,16,7
24,47,C,3316,11695,781,39557,1675,17,2
25,54,D,1943,3904,491,16915,1755,13,1
26,53,A,4683,23266,927,18923,2018,20,3
27,26,A,5585,33731,920,19725,1738,15,4
28,23,A,4586,33556,931,27030,1962,16,3
29,42,D,1257,2622,505,36398,1778,13,0
30,45,D,2269,4598,482,39539,1890,14,1
31,43,C,3279,7383,787,23112,1657,17,2
32,40,B,7824,26119,1100,21324,1741,17,7
33,50,A,5871,23697,1021,35704,1739,14,5
34,37,A,4994,32791,1028,28275,1803,17,4
35,46,C,3725,5370,774,32809,1825,16,2
36,32,E,7521,58801,1894,26864,1980,19,6
37,35,C,3919,10468,632,27304,1389,14,3
38,44,B,7324,12896,1121,17563,1784,14,6
39,42,A,4834,23764,1035,35669,1776,15,4
40,25,E,6725,28869,970,31712,1853,20,5
41,37,C,3249,6436,742,22658,1707,13,2
42,37,D,3388,6627,505,39326,2225,13,2
43,,A,5973,31330,626,24868,1720,16,5
44,31,E,6963,25342,1299,25315,1519,17,6
45,34,D,841,1842,472,18399,1637,15,0
46,34,C,3685,5026,893,42072,1877,16,2
47,50,B,6718,25007,1206,40603,1774,16,5
48,37,D,3174,7127,415,21095,1706,9,2
49,39,B,7121,36236,1073,18788,1456,18,6
50,25,A,5489,37555,747,40154,1720,19,4
51,41,A,4606,27281,1378,40835,2361,20,3
52,29,C,3085,7727,771,30969,1470,13,2
53,38,B,8072,27785,1464,30668,1891,20,7
54,48,D,3867,7598,512,37093,1875,14,2
55,33,A,4705,10730,1184,40842,1948,18,3
56,50,D,1407,3301,416,29580,1166,11,1
57,37,B,6112,16085,1046,33093,2243,18,4
58,45,B,5639,12997,1103,28913,1289,16,5
59,32,C,3129,8536,819,34169,1417,13,2
60,24,E,8476,5223,1718,40368,2242,17,7
61,41,C,3194,5468,870,16525,2283,14,1
62,68,B,6893,12515,1280,28171,1487,17,6
63,53,C,2777,4678,987,35600,1436,16,2
64,28,B,6733,30871,1245,34694,1522,19,6
